site_id,site_name,lat,lon,coord_precision,region,country,date_bp,date_type,date_error,site_type,context_detail,cultural_period,species,source_citation,confidence,notes
NUSARC-0001,Song Terus,-8.017,110.917,approximate,Java,ID,60000,relative,,cave,Gunung Sewu karst cave - south coast Java,Upper_Paleolithic,Homo_sapiens,Semah et al. 2023,high,H. sapiens teeth; far from volcanic plain
NUSARC-0002,Trinil,-7.374,111.358,exact,Java,ID,500000,relative,,river_terrace,Solo River terrace - Ngawi,Lower_Paleolithic,Homo_erectus,Dubois 1894; Huffman et al. 2010,high,H. erectus type site; exposed by river erosion
NUSARC-0003,Sangiran,-7.450,110.850,approximate,Java,ID,1600000,relative,,river_terrace,Solo basin dome - eroded by Cemoro River,Lower_Paleolithic,Homo_erectus,von Koenigswald 1940; Larick et al. 2001,high,UNESCO World Heritage; anticlinal dome
NUSARC-0004,Wajak,-8.033,111.500,approximate,Java,ID,28000,C14,,cave,Tulungagung karst cave - East Java,Upper_Paleolithic,Homo_sapiens,Storm et al. 2013,medium,H. sapiens; original Dubois find
NUSARC-0005,Song Keplek,-8.050,110.900,approximate,Java,ID,9000,C14,,cave,Gunung Sewu karst cave,Mesolithic,Homo_sapiens,Simanjuntak 2002,medium,Keplek chert flake industry 9000-4500 BP
NUSARC-0006,Song Gupuh,-8.050,110.920,approximate,Java,ID,70000,relative,,cave,Partially collapsed cave Gunung Sewu - 16m deposits,Upper_Paleolithic,Homo_sapiens,Westaway et al. 2007,medium,Faunal sequence spanning ~70 ka
NUSARC-0007,Gua Braholo,-8.040,110.880,approximate,Java,ID,30000,C14,,cave,Gunung Sewu karst cave,Upper_Paleolithic,Homo_sapiens,Simanjuntak 2002,medium,Occupation dates over 30 ka; bone tools
NUSARC-0008,Sambungmacan,-7.350,111.300,approximate,Java,ID,100000,relative,,river_terrace,Solo River terrace deposits,Lower_Paleolithic,Homo_erectus,Baba et al. 2003,medium,H. erectus calvaria; river terrace context
NUSARC-0009,Ngandong,-7.350,111.400,approximate,Java,ID,117000,U-series,13000,river_terrace,Solo River high terrace,Lower_Paleolithic,Homo_erectus,Rizal et al. 2020,high,Latest surviving H. erectus; 117-108 ka
NUSARC-0010,Lida Ajer,-0.500,100.650,approximate,Sumatra,ID,68000,luminescence,,cave,Karst cave in Padang Highlands,Upper_Paleolithic,Homo_sapiens,Westaway et al. 2017 Nature,high,H. sapiens teeth; U-series/ESR dating
NUSARC-0011,Gua Harimau,-4.037,103.687,approximate,Sumatra,ID,12000,C14,,cave,Limestone cave South Sumatra,Mesolithic,Homo_sapiens,Simanjuntak et al. 2015,medium,Pre-Neolithic to Neolithic burial cave
NUSARC-0012,Liang Metanduno,-5.000,122.600,approximate,Sulawesi,ID,67800,U-series,,cave,Muna Island cave,Upper_Paleolithic,Homo_sapiens,Oktaviana et al. 2026 Nature,high,Oldest dated rock art in world
NUSARC-0013,Leang Timpuseng,-4.950,119.650,approximate,Sulawesi,ID,39900,U-series,,cave,Maros-Pangkep karst,Upper_Paleolithic,Homo_sapiens,Aubert et al. 2014 Nature,high,Hand stencil dated >=39.9 ka
